Crash Number,Crash Date,Crash Time,City/Town,Crash Severity,Roadway,Near Intersection Roadway,Landmark,Police Agency
3389726,1/8/2013,8:10 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3389732,1/7/2013,5:45 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3392168,2/22/2013,4:09 PM,WORCESTER,Property damage only (none injured),GREENWOOD STREET,,,Local police
3392177,2/22/2013,1:29 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3392284,2/19/2013,7:09 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF / GREENWOOD STREET,,,Local police
3392552,2/18/2013,4:55 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3393788,2/16/2013,1:30 PM,WORCESTER,Not Reported,SOUTHWEST CUTOFF,,,Local police
3394505,2/1/2013,6:00 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3394509,2/7/2013,5:15 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3398235,3/26/2013,1:36 PM,WORCESTER,Not Reported,SPOFFORD ROAD,,,Local police
3400831,3/15/2013,12:40 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3402945,5/3/2013,3:47 PM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF Rte 20 E,GRANITE STREET,,State police
3404296,3/2/2013,1:54 PM,WORCESTER,Non-fatal injury,GREENWOOD STREET / SOUTHWEST CUTOFF Rte 20,,,Local police
3406334,3/19/2013,5:22 AM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF / MASSASOIT ROAD,,,Local police
3406834,3/15/2013,6:30 AM,WORCESTER,Property damage only (none injured),SOUTHWEST CUTOFF,,,Local police
3413731,2/26/2013,6:05 PM,WORCESTER,Non-fatal injury,SOUTHWEST CUTOFF,,,Local police
3420003,4/8/2013,8:06 AM,WORCESTER,Not Reported,SOUTHWEST CUTOFF,,,Local police
